"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather forecast details for Puducherry  dist.","Recommended for today and tomorrow weather report is cloudy weather and possibility of light rain chances is there.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-02 10:02:46.190"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Mealy bug in cotton","Recommended for spray Imidacloprid 0.5 ml+ Azadirachtin 3 ml + Teepol 1 ml /litre","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-04 20:32:26.477"
"KHARIF","HORTICULTURE","Vegetables","Garden Pea","Cultural Practices","asking for the harvest details of amaranthus","recommended for the harvest of Leafy types25 days after sowing for Mulaikeerai (10 t/ha)40 days after sowing for Thandukeerai (16 t/ha)Clipping types10 clippings at weekly intervals (30 t/ha)","PUDUCHERRY","KARAIKAL","Nedungadu","2016-08-06 20:07:23.790"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Market rate information for sesame","Recommended for Tindivanam market rate ; 4125 - 6811 Rs/Quintal","PUDUCHERRY","KARAIKAL","Thirunallar","2016-08-09 07:50:39.410"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","chilli basal fertilizer management","recommended for apply urea 26 kg+ super phosphate 140 kg + 19 kg potash / acre","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-13 06:42:09.417"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","Cotton Magnesium Deficiency Symptoms","Recommended for spray Foliar spray of MgSO4(Magnesium sulphate ) @ 2 % 20 g/ lit of water .","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-13 12:01:54.030"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","Chilli basal fertilizer management","Recommended for apply urea 25 kg + super phosphate 150 kg + potash 20 kg / ac","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-16 08:47:35.610"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Nursery Management","asking for the nursery management in chillies","recommended that after 6 days of germinated seedlings provide the shade net. water with rose can everyday upto seed germination. Drench with 19:19:19 @ 0.5% (5g/l) at 18 days after sowing.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-17 06:24:56.780"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","asking about paddy brown plant leafhopper management","recommended for Vasambu powder 5 kg /acre","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-17 17:31:18.583"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Cultural Practices","bhendi foliar spray details","recommended for spray 19:19:19 - 5 g / lit of water.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-18 18:34:19.960"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report for Karaikal","Recommended for weather report for Karaikal  no rain fall","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-19 19:49:10.413"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Mealy bug control management in cotton","Recommended for spray profenophos 2 ml / 1 litre of water","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-23 13:08:12.297"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","Black gram foliar spray","Recommended for spray DAP 2 kg (20 g / lit of  water )/ acre after 30,45th day of planting","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-24 15:15:59.473"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report of Pondicherry","Recommended weather report of Pondicherry have a light rainfall today","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-25 07:53:20.200"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Seeds and Planting Material","Asking about chilli hybrid seeds availability","Recommended for contact number  0422-6611283","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-25 07:55:55.690"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weed management in paddy","Recommended for apply only hand weeding","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-08-29 12:08:12.333"
