"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","Paddy market rate","Recommended as paddy market rate : Rs. (White Ponni) 2250 / Quintal.","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-01 13:07:41.333"
"RABI","HORTICULTURE","Vegetables","Drum Stick","Cultural Practices","moringa ratoon crop duration","Recommended for 3 years","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-02 08:23:10.403"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Sowing Time and Weather","suitable season and variety for blackgram","recommended for the season is Markazhi – Thaipattam(Winter Irrigated) VBN 3, VBN (Bg) 4, VBN (Bg) 5, TNAU (Blackgram) VBN 6, TNAU (Blackgram) Co 6, TMV 1","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-01-02 09:19:42.060"
"RABI","AGRICULTURE","Others","Others","Government Schemes","crop loan details","recommended for the contact near bank","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-01-02 20:07:59.020"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Varieties","Suitable sesame varieties for Margazhipattam (December -January)","Recommended for CO 1, TMV 3, TMV 5, TMV 7, SVPR 1, VRI(SV) 2","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-03 09:14:58.753"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy Brown plant leafhopper management","recommended for imidochlopirid 4 ml /10 litre of water","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-03 10:45:02.830"
"RABI","AGRICULTURE","Others","Others","Nutrient Management","Foliar nutrient spray for vetiver crop","Recommended for spray 19:19:19-5 g / litre of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-01-03 12:20:57.427"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","ponni market price","Recommended for market price is Rs 2250/Quintal.","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-03 20:31:53.353"
"RABI","HORTICULTURE","Plantation Crops","Teak","	Plant Protection	","savukkum maram root rot","Recommended for apply Trichoderma viride 1 kg+ 20 FYM / acre","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-04 09:05:41.527"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","Thattanchavady paddy White Ponni market rate","Recommended for Thattanchavady paddy White Ponni market rate : 1667 - 1952 Rs/Quintal","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-04 11:31:35.133"
"RABI","AGRICULTURE","Others","Others","Market Information","asking about FYM and vermicompost marketing information","Recommended contact to block level agriculture office","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-04 13:18:42.680"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","gingelly market rate","recommended for Villupuram gingelly market rate Rs 3620-3870/ quintal","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-01-04 17:02:22.507"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","asking about black gram vamban variety seeds availability","recommended for contact to vamban research station , 04322-296035","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-01-05 13:22:48.457"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","seed rate of black gram","recommended for seed rate of black gram is 8 kg/ac","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-05 15:09:47.900"
"RABI","HORTICULTURE","Vegetables","Drum Stick","Seeds and Planting Material","annual moringa seeds availability details","Recommended for contact to horticultural department ph 04146-221163","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-01-05 15:33:32.753"
"RABI","HORTICULTURE","Vegetables","Drum Stick","Seeds and Planting Material","Drum stick seed availability","Recommneded to contact Villupuram district Deputy Director of Horticulture phone:04146-221163","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-01-05 15:38:09.537"
"RABI","HORTICULTURE","Vegetables","Drum Stick","Seeds and Planting Material","annual moringa seeds availability","recommended for contact to Krishi Vigyan Kendra,Kurumbapet, Puducherry – 605 009 0413-2271292","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-01-05 15:51:45.303"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","asking about tamilnadu agricultural university address","recommended address : Professor and Head,Department of Rice,TNAU,Coimbatore-641003","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-06 10:22:45.657"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy market information","recommended for paddy market information Rs 1638/ quintal","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-06 10:50:11.620"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","total yield of black gram","recommended for total yield of black gram is 360 kg/ac","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-06 11:04:45.860"
"RABI","AGRICULTURE","Others","Others","Weather","Nagapattinam weather Report","Recommended for Nagapattinam Today No Rain Fall (0.0 mm)","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-06 11:49:36.597"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Villupuram sesame market rate","Recommended for Villupuram sesame market rate : 3961 - 4199 Rs/Quintal","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-01-06 13:54:08.427"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Flase smut in paddy","recommended for the spray  Propiconazole 1ml /lit of water","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-01-06 14:36:55.297"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","neelbo application method","Recommended for neelbo application method  at 500 ml/ac","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-07 19:56:45.980"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Weed Management","weed management for blackgram","Recommended for spray Pendimethalin 800ml / 200 littes ac 3rd days after sowing","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-08 10:11:14.210"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","Suitable paddy varieties for navarai season","Recommended for paddy varieties ; ADT 36, ADT 39, ASD 16, ASD 18, ADT 43, ADT (R) 45, MDU 5, CO 47,CORH 3, CO 51.","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-01-08 17:43:44.500"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","suitable paddy varieties for navarai season","Recommended for paddy varieties at ADT 36, ADT 39, ASD 16, ASD 18, ADT 43, ADT (R) 45, MDU 5, CO 47 and CORH 3","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-01-08 17:48:59.630"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Field Preparation	","Black gram sowing season","Recommended for season Markazhi – Thaipattam","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-08 18:10:38.390"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Bean Aphids in black gram","Recommended for spray triazophos 1ml / lit","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-09 12:15:18.050"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","White Ponni market rate","Recommended as White Ponni market rate : Rs.1908 - 2132 / Quintal.","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-09 12:49:13.683"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Cultural Practices","groundnut sowing season and variety","Recommended for groundnut sowing season : April - May and variety : TMV 7, CO 3, COGn 4, VRI 2, VRI 3,TMVGn 13","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-01-09 12:51:49.057"
"RABI","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Cultural Practices","groundnut sowing season and variety","Recommended for groundnut sowing season : April - May and variety : TMV 7, CO 3, COGn 4, VRI 2, VRI 3,TMVGn 13","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-09 12:59:50.223"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Fertilizer Use and Availability","blackgram foliar application details","Recommended for spray DAP 20 gm / lit of water.","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-09 17:58:32.620"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","Citrus leaf miner management","recommended for spray neem oil 3 ml + teepol 1 ml / lit of water.","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-10 13:50:02.837"
"RABI","AGRICULTURE","Others","Others","Market Information","paddy market information (white ponni)","recommended for Thattanchavady market price Rs.1908-2132 /Quintal (08.01.16)","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-01-10 17:05:52.340"
"RABI","HORTICULTURE","Vegetables","Ash Gourd (Petha)","Seeds and Planting Material","Palur Vegetable Research Station contact number","Recommended for Palur Vegetable Research Station contact number ph 04142-75222","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-01-11 07:22:54.283"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","whiteponni market rate","recommended for Thattanchavady whiteponni market rate Rs 1908-2132/ quintal","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-01-11 08:20:13.367"
"RABI","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","Cultural Practices","Kudiraivali seed rate","Recommended for Kudiraivali seed rate ; 4 kg / acre","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-11 11:54:45.903"
"RABI","AGRICULTURE","Beekeeping","Beekeeping","Training and Exposure Visits","bee keeping training details","recommended for phone number:0422-6611214","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-12 12:28:30.303"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","casurina root rot  management details","recommended for drench with copper oxy chloride 2 g / lit of water.","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-12 14:08:11.090"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","market price for paddy","recommended for the paddy price  : Rs 1900-2083 /quintal","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-01-12 17:51:33.477"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","market price of paddy variety BPT","recommended for market price of paddy variety BPT is rs.1745-1785/quintal","PUDUCHERRY","PUDUCHERRY","VILLIANUR","2016-01-12 17:59:13.300"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","Virudhachalam sesame market rate","Recommended for Virudhachalam sesame market rate : 3461 - 6136 Rs./Quintal","PUDUCHERRY","PUDUCHERRY","BAHOUR","2016-01-13 08:51:01.360"
"RABI","AGRICULTURE","Fodder Crops","fodder sorghum","Cultural Practices","Fodder sorghum planting spacing","Recommended for Fodder sorghum planting spacing is 25 x 10 cm","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-13 19:16:14.140"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","black gram seed availability details","recommended to contact number : 04322-296035","PUDUCHERRY","PUDUCHERRY","PUDUCHERRY","2016-01-13 21:02:08.370"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Cultural Practices","maize sowing season details","recommended for maize sowing season  : January  - February","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-14 08:23:50.833"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Sowing Time and Weather","Sowing season for maize crop","Recommended for Adipattam (July - August),Purattasipattam (September - October) and Thaipattam (January - February)","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-14 13:10:57.907"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","black gram sowing season details","recommended for  black gram sowing season : December -January","PUDUCHERRY","PUDUCHERRY","OZHUKARAI","2016-01-15 07:03:35.683"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","Bhendi seed availability","Recommended for to contact villupuram district deputy director of horticulture  phone :04146-221163","PUDUCHERRY","PUDUCHERRY","MANNADIPET","2016-01-15 11:11:29.300"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Varieties","asking about maize season and varieties information","recommended varieties are : Thaipattam (January - February) TNAU maize hybrid Co 6, Baby corn Co(Bc) 1","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-15 12:30:34.460"
"RABI","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","moringa sucking pest control","recommended for spray Neem oil 3 ml + 1 ml teepol / lit of water","PUDUCHERRY","PUDUCHERRY","NETTAPAKKAM","2016-01-15 12:40:03.700"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Weed Management","Weed management in black gram","Recommended for spray Quizalofop ethyl 400 ml /acre 15-20 days after sowing","PUDUCHERRY","PUDUCHERRY","ARIYANKUPPAM","2016-01-15 18:13:05.540"
