"Season","Sector","Category","Crop","QueryType","QueryText","KccAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Fruits","Mango","Nutrient Management","Immature fruit drop control management in mango","Recommended for spray potassium nitrate 10 g / 1 lit of water","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-02 10:50:33.350"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","black gram season and variety","Recommended for black gram season : june - august and variety : VBN (Bg) 4, VBN(Bg) 5, VBN 7","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-02 11:49:06.763"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","leaf Caterpillar management in black gram","Recommended for spray chlorpyrifos 2 ml + neem oil 3 ml / litre of water","PUDUCHERRY","KARAIKAL","Thirunallar","2016-05-02 14:09:13.260"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Fertilizer Use and Availability","Asking about black gram season and variety","Recommended for black gram season April - May and variety ADT 5","PUDUCHERRY","KARAIKAL","Nedungadu","2016-05-04 06:52:12.060"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Paddy direct sowing weed management","recommended for spray Pritilachlor 600 ml / 100 litre of water","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-05 14:52:31.280"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Paddy direct seed weed management","Recommended for spray Pretilachlor 600 ml /ac.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-05 14:54:09.830"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Weed management in Paddy","Recommended for spray pretilachlor -600 ml / acre on 8 th day after sowing","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-05 15:01:34.210"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","Coconut red palm weevil management","Recommended for root feeding monocrotophos 10 ml+ water 10 ml /tree.","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-05 18:34:39.350"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","Pre emergence weed management in direct sowing paddy","Recommended for apply Pritilachlor 600 ml / acre","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-06 12:06:22.530"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","black gram  variety information","recommended for black gram  variety : ADT 5","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-06 18:36:12.873"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","Concentration of Cotton plus","Recommended Concentration of Cotton plus is 2.5 kg /acre","PUDUCHERRY","KARAIKAL","Thirunallar","2016-05-07 15:47:02.377"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","foliar spray in black gram","Recommended for spray DAP 2 kg/ac on 30th and 45th day after sowing","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-07 18:22:40.833"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Sowing Time and Weather","Gingelly sowing season and varieties","Recommended for Adippattam(July-Aug)CO 1, TMV 3,TMV 7","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-09 09:43:21.890"
"JAYAD","HORTICULTURE","Flowers","Jasmine","Seeds and Planting Material","asking about mullai planting season","recommended for june – November month is suitable","PUDUCHERRY","KARAIKAL","KARAIKAL","2016-05-10 20:56:39.227"
